Week Start,Property,Violent
2025-04-07,10,7
2025-04-14,16,6
2025-04-21,14,1
2025-04-28,25,5
2025-05-05,9,5
2025-05-12,7,5
2025-05-19,18,2
2025-05-26,13,3
2025-06-02,8,4
2025-06-09,10,4
2025-06-16,10,3
2025-06-23,10,5
2025-06-30,17,3
2025-07-07,12,3
2025-07-14,13,3
2025-07-21,10,4
2025-07-28,13,4
2025-08-04,10,3
2025-08-11,15,2
2025-08-18,17,4
2025-08-25,14,2
2025-09-01,18,4
2025-09-08,30,4
2025-09-15,16,9
2025-09-22,16,9
2025-09-29,13,5
2025-10-06,26,6
2025-10-13,21,5
2025-10-20,24,6
2025-10-27,28,16
2025-11-03,30,10
2025-11-10,17,7
2025-11-17,12,10
2025-11-24,15,2
2025-12-01,19,3
2025-12-08,19,2
2025-12-15,11,6
2025-12-22,7,2
2025-12-29,3,0
2026-01-05,11,1
2026-01-12,16,9
2026-01-19,9,5
2026-01-26,15,10
2026-02-02,19,3
2026-02-09,9,11
2026-02-16,16,7
2026-02-23,23,4
2026-03-02,25,5
2026-03-09,15,4
2026-03-16,12,5
2026-03-23,20,6
2026-03-30,18,4
2026-04-06,18,7
2026-04-13,21,7
2026-04-20,31,7
2026-04-27,21,6
2026-05-04,19,7
2026-05-11,14,3
2026-05-18,12,0
2026-05-25,12,3
2026-06-01,9,2
2026-06-08,8,3
2026-06-15,10,5
2026-06-22,13,2
2026-06-29,8,5
2026-07-06,10,6
2026-07-13,4,2
2026-07-20,3,0
